FirstImage,SecondImage,NonZeroR,NonZeroG,NonZeroB,Matches0.5,Matches0.6,Matches0.7,Matches0.8,Matches0.9,Matches1.0,Matches
jazz/A,pop/Don't,283966,268024,286263,0,0,1,14,76,358,407
jazz/A,pop/For,278956,256978,280896,0,0,0,9,66,370,407
jazz/A,pop/I,279659,260166,280900,0,0,0,11,72,364,407
jazz/A,pop/i,290685,271024,292862,0,1,2,11,85,370,407
jazz/A,pop/Let's,276465,263705,278888,0,0,5,13,57,361,407
jazz/A,pop/Set,281621,263150,284682,0,0,0,11,93,365,407
jazz/A,pop/The,277372,262558,278758,0,0,1,16,76,369,407
jazz/A,pop/We'll,286039,256597,286475,0,0,1,10,79,349,407
jazz/Bandoneon,pop/Day,252622,249246,253360,0,2,10,29,107,386,413
jazz/Bandoneon,pop/Don't,253965,250774,254898,0,2,8,32,108,381,413
jazz/Bandoneon,pop/For,248129,242113,248942,0,0,1,16,84,376,413
jazz/Bandoneon,pop/I,210533,202730,211191,0,0,4,30,112,373,413
jazz/Bandoneon,pop/i,278361,273682,279188,0,0,1,17,99,377,413
jazz/Bandoneon,pop/Let's,174844,169053,175848,0,1,3,33,106,376,413
jazz/Bandoneon,pop/Set,244385,240296,245698,0,1,5,31,127,382,413
jazz/Bandoneon,pop/The,181953,175035,182587,0,0,5,30,107,384,413
jazz/Bandoneon,pop/We'll,251439,242241,251557,0,2,10,35,126,358,413
jazz/Birdman,pop/Day,253517,247221,254058,1,2,10,37,122,402,442
jazz/Birdman,pop/Don't,256154,250044,256877,0,1,1,17,91,398,442
jazz/Birdman,pop/For,251870,242528,252493,0,2,7,26,111,399,442
jazz/Birdman,pop/I,221276,211631,221833,0,0,3,18,88,394,442
jazz/Birdman,pop/i,280246,272981,280956,0,1,5,19,107,410,442
jazz/Birdman,pop/Let's,193631,186689,194392,0,1,9,27,99,398,442
jazz/Birdman,pop/Set,249007,240499,250061,0,0,7,23,86,395,442
jazz/Birdman,pop/The,194682,186747,195292,1,2,5,23,109,400,442
jazz/Birdman,pop/We'll,255621,242615,255707,0,4,10,27,120,408,442
jazz/Chinese,pop/Day,256739,254025,258986,0,0,4,21,99,431,468
